Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted,Pokedex_adjusted
1,Bulbasaur,Grass,Poison,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,9,9,a strange seed was planted on its back at birth the plant sprouts and grows with this 
1,Bulbasaur,Grass,Poison,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",9,9,it can go for days without eating a single morsel in the bulb on its back it stores energy
1,Bulbasaur,Grass,Poison,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,9,9,the seed on its back is filled with nutrients the seed grows steadily larger as its body grows
1,Bulbasaur,Grass,Poison,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",9,9,it carries a seed on its back right from birth as it grows older the seed also grows larger
1,Bulbasaur,Grass,Poison,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.",9,9,while it is young it uses the nutrients that are stored in the seeds on its back in order to grow
1,Bulbasaur,Grass,Poison,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",9,9, can be seen napping in bright sunlight there is a seed on its back by soaking up the sun rays the seed grows progressively larger
1,Bulbasaur,Grass,Poison,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.,9,9,there is a plant seed on its back right from the day this is born the seed slowly grows larger
1,Bulbasaur,Grass,Poison,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,9,9,a strange seed was planted on its back at birth the plant sprouts and grows with this 
1,Bulbasaur,Grass,Poison,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",9,9,for some time after its birth it grows by gaining nourishment from the seed on its back
1,Bulbasaur,Grass,Poison,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,9,9,the seed on its back is filled with nutrients the seed grows steadily larger as its body grows
1,Bulbasaur,Grass,Poison,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",9,9,it carries a seed on its back right from birth as it grows older the seed also grows larger
1,Bulbasaur,Grass,Poison,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",9,9,for some time after its birth it grows by gaining nourishment from the seed on its back
1,Bulbasaur,Grass,Poison,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,9,9,a strange seed was planted on its back at birth the plant sprouts and grows with this 
1,Bulbasaur,Grass,Poison,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",9,9,for some time after its birth it grows by gaining nourishment from the seed on its back
1,Bulbasaur,Grass,Poison,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",9,9, can be seen napping in bright sunlight there is a seed on its back by soaking up the sun rays the seed grows progressively larger
1,Bulbasaur,Grass,Poison,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",9,9,it can go for days without eating a single morsel in the bulb on its back it stores energy
1,Bulbasaur,Grass,Poison,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,9,9,there is a plant seed on its back right from the day this is born the seed slowly grows larger
1,Bulbasaur,Grass,Poison,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",9,9,while it is young it uses the nutrients that are stored in the seed on its back in order to grow
1,Bulbasaur,Grass,Poison,"For some time after its birth, it grows by taking nourishment from the seed on its back.",9,9,for some time after its birth it grows by taking nourishment from the seed on its back
2,Ivysaur,Grass,Poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",9,9,when the bulb on its back grows large it appears to lose the ability to stand on its hind legs
2,Ivysaur,Grass,Poison,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,9,9,the bulb on its back grows by drawing energy it gives off an aroma when it is ready to bloom
2,Ivysaur,Grass,Poison,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,9,9,exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger
