Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted
1,Bulbasaur,Grass,Poison,a strange seed was planted on its back at birth the plant sprouts and grows with this it can go for days without eating a single morsel in the bulb on its back it stores energy the seed on its back is filled with nutrients the seed grows steadily larger as its body grows it carries a seed on its back right from birth as it grows older the seed also grows larger while it is young it uses the nutrients that are stored in the seeds on its back in order to grow can be seen napping in bright sunlight there is a seed on its back by soaking up the sun rays the seed grows progressively larger there is a plant seed on its back right from the day this is born the seed slowly grows larger a strange seed was planted on its back at birth the plant sprouts and grows with this for some time after its birth it grows by gaining nourishment from the seed on its back the seed on its back is filled with nutrients the seed grows steadily larger as its body grows it carries a seed on its back right from birth as it grows older the seed also grows larger for some time after its birth it grows by gaining nourishment from the seed on its back a strange seed was planted on its back at birth the plant sprouts and grows with this for some time after its birth it grows by gaining nourishment from the seed on its back can be seen napping in bright sunlight there is a seed on its back by soaking up the sun rays the seed grows progressively larger it can go for days without eating a single morsel in the bulb on its back it stores energy there is a plant seed on its back right from the day this is born the seed slowly grows larger while it is young it uses the nutrients that are stored in the seed on its back in order to grow for some time after its birth it grows by taking nourishment from the seed on its back,9,9
2,Ivysaur,Grass,Poison,when the bulb on its back grows large it appears to lose the ability to stand on its hind legs the bulb on its back grows by drawing energy it gives off an aroma when it is ready to bloom exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger if the bud on its back starts to smell sweet it is evidence that the large flower will soon bloom the bulb on its back grows as it absorbs nutrients the bulb gives off a pleasant aroma when it blooms there is a bud on this back to support its weight legs and trunk grow thick and strong if it starts spending more time lying in the sunlight it is a sign that the bud will bloom into a large flower soon there is a plant bulb on its back when it absorbs nutrients the bulb is said to blossom into a large flower when the bulb on its back grows large it appears to lose the ability to stand on its hind legs to support its bulb legs grow sturdy if it spends more time lying in the sunlight the bud will soon bloom into a large flower when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger if the bud on its back starts to smell sweet it is evidence that the large flower will soon bloom when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom there is a plant bulb on its back when it absorbs nutrients the bulb is said to blossom into a large flower when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom there is a bud on this back to support its weight legs and trunk grow thick and strong if it starts spending more time lying in the sunlight it is a sign that the bud will bloom into a large flower soon the bud on its back grows by drawing energy it gives off an aroma when it is ready to bloom when the bulb on its back grows large it appears to lose the ability to stand on its hind legs exposure to sunlight adds to its strength sunlight also makes the bud on its back grow larger when the bud on its back starts swelling a sweet aroma wafts to indicate the flower coming bloom,9,9
3,Venusaur,Grass,Poison,the plant blooms when it is absorbing solar energy it stays on the move to seek sunlight the flower on its back catches the sun rays the sunlight is then absorbed and used for energy by spreading the broad petals of its flower and catching the sun rays it fills its body with power it is able to convert sunlight into energy as a result it is more powerful in the summertime as it warms itself and absorbs the sunlight its flower petals release a pleasant fragrance there is a large flower on back the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people a bewitching aroma wafts from its flower the fragrance becalms those engaged in a battle its plant blooms when it is absorbing solar energy it stays on the move to seek sunlight flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people after a rainy day the flower on its back smells stronger the scent attracts other by spreading the broad petals of its flower and catching the sun rays it fills its body with power it is able to convert sunlight into energy as a result it is more powerful in the summertime after a rainy day the flower on its back smells stronger the scent attracts other by spreading the broad petals of its flower and catching the sun rays it fills its body with power after a rainy day the flower on its back smells stronger the scent attracts other there is a large flower on back the flower is said to take on vivid colors if it gets plenty of nutrition and sunlight the flower aroma soothes the emotions of people the flower on its back catches the sun rays the sunlight is then absorbed and used for energy its plant blooms when it is absorbing solar energy it stays on the move to seek sunlight a bewitching aroma wafts from its flower the fragrance becalms those engaged in a battle after a rainy day the flower on its back smells stronger the scent attracts other in order to support its flower which has grown larger due to mega evolution its back and legs have become stronger,9,9
4,Charmander,Fire,,obviously prefers hot places when it rains steam is said to spout from the tip of its tail the flame at the tip of its tail makes a sound as it burns you can only hear it in quiet places the flame on its tail shows the strength of its life force if it is weak the flame also burns weakly the flame on its tail indicates life force if it is healthy the flame burns brightly if it is healthy the flame on the tip of its tail will burn vigorously even if it gets a bit wet the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is enjoying itself if the becomes enraged the flame burns fiercely from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out it has a preference for hot things when it rains steam is said to spout from the tip of its tail the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is happy and blazes when it is enraged the fire on the tip of its tail is a measure of its life if healthy its tail burns intensely the flame on its tail shows the strength of its life force if it is weak the flame also burns weakly the flame on its tail indicates life force if it is healthy the flame burns brightly the fire on the tip of its tail is a measure of its life if healthy its tail burns intensely the flame on its tail indicates life force if it is healthy the flame burns brightly from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out the flame that burns at the tip of its tail is an indication of its emotions the flame wavers when is enjoying itself if the becomes enraged the flame burns fiercely the flame at the tip of its tail makes a sound as it burns you can only hear it in quiet places it has a preference for hot things when it rains steam is said to spout from the tip of its tail from the time it is born a flame burns at the tip of its tail its life would end if the flame were to go out the fire on the tip of its tail is a measure of its life if the is healthy its tail burns intensely,6,6
5,Charmeleon,Fire,,when it swings its burning tail it elevates the temperature to unbearably high levels tough fights could excite this when excited it may blow out bluish white flames it is very hotheaded by re so it constantly seeks opponents it calms down only when it wins it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws if it becomes agitated during battle it spouts intense flames incinerating its surroundings mercilessly destroys its foes using its sharp claws if it encounters a strong foe it turns aggressive in this excited state the flame at the tip of its tail flares with a bluish white color it lashes about with its tail to knock down its foe it then tears up the fallen opponent with sharp claws when it swings its burning tail it elevates the air temperature to unbearably high levels without pity its sharp claws destroy foes if it encounters a strong enemy it becomes agitated and the flame on its tail flares with a bluish white color in the rocky mountains where live their fiery tails shine at night like stars it is very hotheaded by re so it constantly seeks opponents it calms down only when it wins it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws in the rocky mountains where live their fiery tails shine at night like stars it lashes about with its tail to knock down its foe it then tears up the fallen opponent with sharp claws when it swings its burning tail it elevates the air temperature to unbearably high levels mercilessly destroys its foes using its sharp claws if it encounters a strong foe it turns aggressive in this excited state the flame at the tip of its tail flares with a bluish white color tough fights could excite this when excited it may breathe out bluish white flames it has a barbaric re in battle it whips its fiery tail around and slashes away with sharp claws if it becomes agitated during battle it spouts intense flames incinerating its surroundings in the rocky mountains where live their fiery tails shine at night like stars,6,6
6,Charizard,Fire,Flying,spits fire that is hot enough to melt boulders known to cause forest fires unintentionally when expelling a blast of super hot fire the red flame at the tip of its tail burns more intensely if becomes furious the flame at the tip of its tail flares up in a whitish blue color breathing intense hot flames it can melt almost anything its breath inflicts terrible pain on enemies it uses its wings to fly high the temperature of its fire increases as it gains experience in battle flies around the sky in search of powerful opponents it breathes fire of such great heat that it melts anything however it never turns its fiery breath on any opponent weaker than itself its wings can carry this close to an altitude of feet it blows out fire at very high temperatures it spits fire that is hot enough to melt boulders it may cause forest fires by blowing flames a flies about in search of strong opponents it breathes intense flames that can melt any material however it will never torch a weaker foe it is said that fire burns hotter if it has experienced harsh battles if becomes furious the flame at the tip of its tail flares up in a light blue shade breathing intense hot flames it can melt almost anything its breath inflicts terrible pain on enemies it is said that fire burns hotter if it has experienced harsh battles when expelling a blast of superhot fire the red flame at the tip of its tail burns more intensely its wings can carry this close to an altitude of feet it blows out fire at very high temperatures flies around the sky in search of powerful opponents it breathes fire of such great heat that it melts anything however it never turns its fiery breath on any opponent weaker than itself when this expels a blast of superhot fire the red flame at the tip of its tails burns more intensely it spits fire that is hot enough to melt boulders it may cause forest fires by blowing flames its wings can carry this close to an altitude of feet it blows out fire at very high temperatures it is said that fire burns hotter if it has experienced harsh battles this colossal flame winged figure of a was brought about by gigantamax energy the flame inside its body burns hotter than degrees fahrenheit when roars that temperature climbs even higher the overwhelming power that fills its entire body causes it to turn black and create intense blue flames its bond with its trainer is the source of its power it boasts speed and maneuverability greater than that of a jet fighter,6,6
7,Squirtle,Water,,after birth its back swells and hardens into a shell powerfully sprays foam from its mouth shoots water at prey while in the water withdraws into its shell when in danger the shell is soft when it is born it soon becomes so resilient prodding fingers will bounce off it the shell which hardens soon after it is born is resilient if you poke it it will bounce back out when it feels threatened it draws its legs inside its shell and sprays water from its mouth shell is not merely used for protection the shell rounded shape and the grooves on its surface help minimize resistance in water enabling this to swim at high speeds when it retracts its long neck into its shell it squirts out water with vigorous force after birth its back swells and hardens into a shell it powerfully sprays foam from its mouth its shell is not just for protection its rounded shape and the grooves on its surface minimize resistance in water enabling to swim at high speeds it shelters itself in its shell then strikes back with spouts of water at every opportunity the shell is soft when it is born it soon becomes so resilient prodding fingers will bounce off it the shell which hardens soon after it is born is resilient if you poke it it will bounce back out it shelters itself in its shell then strikes back with spouts of water at every opportunity it shelters itself in its shell then strikes back with spouts of water at every opportunity it shelters itself in its shell then strikes back with spouts of water at every opportunity shoots water at prey while in the water withdraws into its shell when in danger shell is not merely used for protection the shell rounded shape and the grooves on its surface help minimize resistance in water enabling this to swim at high speeds shoots water at prey while in the water withdraws into its shell when in danger when it retracts its long neck into its shell it squirts out water with vigorous force when it feels threatened it draws its limbs inside its shell and sprays water from its mouth it hides in its shell to protect itself then strikes back with spouts of water at every opportunity,17,17
8,Wartortle,Water,,often hides in water to stalk unwary prey for swimming fast it moves its ears to maintain balance when tapped this will pull in its head but its tail will still stick out a little bit it is recognized as a symbol of longevity if its shell has algae on it that is very old it cleverly controls its furry ears and tail to maintain its balance while swimming its long furry tail is a symbol of longevity making it quite popular among older people its tail is large and covered with a rich thick fur the tail becomes increasingly deeper in color as ages the scratches on its shell are evidence of this toughness as a battler this is very popular as a pet its fur covered tail is a symbol of its longevity it often hides in water to stalk unwary prey for fast swimming it moves its ears to maintain balance its large tail is covered with rich thick fur that deepens in color with age the scratches on its shell are evidence of this toughness in battle it is said to live years its furry tail is popular as a symbol of longevity it is a well established symbol of longevity if its shell has algae on it that is very old it cleverly controls its furry ears and tail to maintain its balance while swimming it is said to live years its furry tail is popular as a symbol of longevity when tapped this will pull in its head but its tail will still stick out a little bit it is said to live years its furry tail is popular as a symbol of longevity its tail is large and covered with a rich thick fur the tail becomes increasingly deeper in color as ages the scratches on its shell are evidence of this toughness as a battler when tapped on its head this will pull it in but its tail will stick out a little bit it is recognized as a symbol of longevity if its shell has algae on it that is very old it cleverly controls its furry ears and tail to maintain its balance while swimming it is said to live years its furry tail is popular as a symbol of longevity,17,17
9,Blastoise,Water,,a brutal with pressurized water jets on its shell they are used for high speed tackles once it takes aim at its enemy it blasts out water with even more force than a fire hose it deliberately makes itself heavy so it can withstand the recoil of the water jets it fires the rocket cannons on its shell fire jets of water capable of punching holes through thick steel it firmly plants its feet on the ground before shooting water from the jets on its back has water spouts that protrude from its shell the water spouts are very accurate they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over feet it crushes its foe under its heavy body to cause fainting in a pinch it will withdraw inside its shell the pressurized water jets on this brutal shell are used for high speed tackles the waterspouts that protrude from its shell are highly accurate their bullets of water can precisely nail tin cans from a distance of over feet the jets of water it spouts from the rocket cannons on its shell can punch through thick steel it deliberately makes itself heavy so it can withstand the recoil of the water jets it fires the rocket cannons on its shell fire jets of water capable of punching holes through thick steel the jets of water it spouts from the rocket cannons on its shell can punch through thick steel it crushes its foe under its heavy body to cause fainting in a pinch it will withdraw inside its shell the pressurized water jets on this brutal shell are used for high speed tackles has water spouts that protrude from its shell the water spouts are very accurate they can shoot bullets of water with enough accuracy to strike empty cans from a distance of over feet once it takes aim at its enemy it blasts out water with even more force than a fire hose it crushes its foe under its heavy body to cause fainting in a pinch it will withdraw inside its shell the rocket cannons on its shell fire jets of water capable of punching holes through thick steel the jets of water it spouts from the rocket cannons on its shell can punch through thick steel the cannon on its back is as powerful as a tank gun its tough legs and back enable it to withstand the recoil from firing the cannon,17,17
10,Caterpie,Bug,,its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls if you touch the feeler on top of its head it will release a horrible stink to protect itself for protection it releases a horrible stench from the antenna on its head to drive away enemies its feet have suction cups designed to stick to any surface it tenaciously climbs trees to forage it crawls into foliage where it camouflages itself among leaves that are the same color as its body has a voracious appetite it can devour leaves bigger than its body right before your eyes from its antenna this releases a terrifically strong odor it is covered with a green skin when it grows it sheds the skin covers itself with silk and becomes a cocoon its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls its voracious appetite compels it to devour leaves bigger than itself without hesitation it releases a terribly strong odor from its antennae it releases a stench from its red antenna to repel enemies it grows by molting repeatedly for protection it releases a horrible stench from the antennae on its head to drive away enemies its feet have suction cups designed to stick to any surface it tenaciously climbs trees to forage it releases a stench from its red antenna to repel enemies it grows by molting repeatedly for protection it releases a horrible stench from the antennae on its head to drive away enemies its feet have suction cups designed to stick to any surface it tenaciously climbs trees to forage has a voracious appetite it can devour leaves bigger than its body right before your eyes from its antenna this releases a terrifically strong odor when attacked by bird it resists by releasing a terrifically strong odor from its antennae but it often becomes their prey it is easy to catch and it grows quickly making it one of the top recommendations for novice trainers perhaps because it would like to grow up quickly it has a voracious appetite eating a hundred leaves a day its body is soft and weak in re its perpetual fate is to be seen by others as food if you touch the feeler on top of its head it will release a horrible stink to protect itself for protection it releases a horrible stench from the antenna on its head to drive away enemies its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls it releases a stench from its red antennae to repel enemies it grows by molting repeatedly,0,0
